iter	Logloss
0	0.6870807537
1	0.6833999725
2	0.6774374962
3	0.6717395
4	0.6658452217
5	0.6609630103
6	0.6555041842
7	0.6498022446
8	0.644840377
9	0.6403232574
10	0.6350184997
11	0.6311084042
12	0.6277142253
13	0.622946584
14	0.6188136584
15	0.6160244636
16	0.6118334307
17	0.6079122146
18	0.6032959545
19	0.5993603609
20	0.5955260063
21	0.5930483963
22	0.5897421843
23	0.5858427719
24	0.5821462071
25	0.5781507617
26	0.5740490071
27	0.571183191
28	0.5674232633
29	0.5653089679
30	0.5615398548
31	0.5575388744
32	0.5555350938
33	0.5519750067
34	0.5486702963
35	0.5453515867
36	0.5420277418
37	0.5396134001
38	0.53612982
39	0.5343930537
40	0.5318354281
41	0.5287774642
42	0.5254685244
43	0.5224632062
44	0.52034465
45	0.5172259865
46	0.5146566628
47	0.5118115163
48	0.5086515728
49	0.5059004599
50	0.5045084777
51	0.5031405559
52	0.5013117254
53	0.4999920069
54	0.4972784832
55	0.4949679733
56	0.4932650796
57	0.49204348
58	0.4897953162
59	0.4886185901
60	0.4861707931
61	0.4839952464
62	0.4815186586
63	0.4796113152
64	0.4777390337
65	0.4753525491
66	0.4739343066
67	0.4729295447
68	0.4707642069
69	0.4697957544
70	0.4684723672
71	0.4675385894
72	0.4656605025
73	0.4638387821
74	0.4620132128
75	0.4598317638
76	0.457709984
77	0.4555636271
78	0.4542263426
79	0.4523366119
80	0.451554374
81	0.450457075
82	0.4497019069
83	0.448651882
84	0.446609342
85	0.4458953349
86	0.4439903882
87	0.4422743095
88	0.4406780463
89	0.4400168286
90	0.4381998259
91	0.4375627455
92	0.4364912074
93	0.4355916442
94	0.4340351391
95	0.4322177032
96	0.4313678376
97	0.4296556511
98	0.4282281541
99	0.4268031081
100	0.4262677423
101	0.4254887572
102	0.4249717971
103	0.4236464594
104	0.4227688623
105	0.4213979691
106	0.4202042105
107	0.4189117473
108	0.4174255638
109	0.4165553673
110	0.4152675138
111	0.4147228646
112	0.4136393912
113	0.4124155363
114	0.4110107713
115	0.4097720525
116	0.4084027194
117	0.4072567741
118	0.4068753379
119	0.4061011781
120	0.4051856237
121	0.4048245411
122	0.4040500524
123	0.4032591356
124	0.4020525438
125	0.4011340225
126	0.4003387835
127	0.399511791
128	0.3990624972
129	0.3987520831
130	0.3980234079
131	0.3971033108
132	0.3965548369
133	0.3955994227
134	0.394920708
135	0.3942558362
136	0.3938408897
137	0.3935734775
138	0.3931864583
139	0.3921136932
140	0.391647809
141	0.3913673083
142	0.390281398
143	0.3900101706
144	0.3892451088
145	0.3887887664
146	0.3878701351
147	0.3869997516
148	0.3867274302
149	0.3861226815
150	0.3852707197
151	0.3846775112
152	0.3844716111
153	0.3839806506
154	0.3833700403
155	0.3825019243
156	0.3816943172
157	0.3815555999
158	0.3812405328
159	0.3804125838
160	0.3796437118
161	0.3788570313
162	0.3780245401
163	0.377273745
164	0.3769370995
165	0.3766062809
166	0.3761523872
167	0.3754804239
168	0.374792502
169	0.3740961216
170	0.3735456485
171	0.3729929863
172	0.3724991481
173	0.371692315
174	0.3709788419
175	0.3707406112
176	0.3701908338
177	0.3695832229
178	0.3689805029
179	0.3683285982
180	0.36767216
181	0.367455166
182	0.3666475817
183	0.3663693929
184	0.3659471993
185	0.3653496145
186	0.3648354405
187	0.3643900093
188	0.3640489036
189	0.3634970564
190	0.3631550739
191	0.3630146867
192	0.3627088804
193	0.3626082775
194	0.3625096637
195	0.3621215393
196	0.3615607179
197	0.361467313
198	0.3609039024
199	0.3603762055
200	0.3599555739
201	0.3594562516
202	0.3591695075
203	0.3586865867
204	0.3582951986
205	0.3578433249
206	0.3576176612
207	0.3574760472
208	0.3569477928
209	0.3563704108
210	0.3559326927
211	0.3553749834
212	0.3549596789
213	0.3544010553
214	0.353966969
215	0.3534981004
216	0.3532459768
217	0.3530318923
218	0.3528890955
219	0.3524927283
220	0.3523799983
221	0.3521530824
222	0.3517026897
223	0.3514005019
224	0.350806651
225	0.3505488608
226	0.3501191666
227	0.3497475156
228	0.3492338381
229	0.3489023978
230	0.3487938141
231	0.3487177941
232	0.3483137659
233	0.3477557273
234	0.3473399737
235	0.3470427467
236	0.3465428617
237	0.3460861595
238	0.3459431149
239	0.3456214521
240	0.3450535049
241	0.3447037452
242	0.3444539743
243	0.3440345099
244	0.3437936968
245	0.3437511945
246	0.3436547375
247	0.3433038573
248	0.3429343531
249	0.3429021477
250	0.3428057732
251	0.3424081876
252	0.3419807574
253	0.3418762224
254	0.3416483677
255	0.3413314956
256	0.341070503
257	0.3408981562
258	0.3404434848
259	0.3401366691
260	0.339783764
261	0.3397163596
262	0.3396841095
263	0.3396024536
264	0.3394764856
265	0.3391716961
266	0.3391416038
267	0.3388614108
268	0.3386464663
269	0.338374793
270	0.3383103789
271	0.3382626863
272	0.3380756999
273	0.3379281296
274	0.3378552229
275	0.3376117099
276	0.337375918
277	0.3371555236
278	0.3368676958
279	0.3368132081
280	0.3367440741
281	0.3364788399
282	0.3364093216
283	0.3361036319
284	0.335792501
285	0.3354544287
286	0.3350913901
287	0.3347746624
288	0.3344459785
289	0.3340568513
290	0.3338056518
291	0.333742095
292	0.333518004
293	0.3331109306
294	0.3329265926
295	0.3325507896
296	0.3322847706
297	0.33226799
298	0.3320063163
299	0.3317159816
300	0.3316172144
301	0.3315654344
302	0.3314061866
303	0.331029353
304	0.3307511471
305	0.3307352986
306	0.3305682765
307	0.3303914717
308	0.3301540412
309	0.3299157187
310	0.3295830736
311	0.3294447651
312	0.3292245776
313	0.3290184067
314	0.3288414594
315	0.3285995967
316	0.3285328248
317	0.3285198069
318	0.3283835186
319	0.328136092
320	0.3278097867
321	0.327647312
322	0.3273984572
323	0.3272109476
324	0.3269545744
325	0.3268251472
326	0.3266482327
327	0.3264936386
328	0.3262524072
329	0.3261732421
330	0.3259523037
331	0.3257308639
332	0.3255563814
333	0.3254500126
334	0.3252167115
335	0.3251037288
336	0.3247627042
337	0.3245960496
338	0.3243910982
339	0.3242157316
340	0.3240061829
341	0.3237108436
342	0.3234694876
343	0.3234040548
344	0.3231803518
345	0.3229681737
